Skill,Gender,Experienced,IQ,Hired
Expert,Male,Experienced,Average,Yes
Expert,Female,Experienced,Below_Average,No
Intermediate,Male,Freshman,Below_Average,No
Expert,Male,Freshman,Below_Average,No
Beginner,Male,Experienced,Gifted,No
Beginner,Male,Freshman,Average,No
Beginner,Male,Freshman,Gifted,No
Expert,Female,Freshman,Gifted,No
Intermediate,Female,Freshman,Below_Average,No
Expert,Female,Freshman,Gifted,No
Beginner,Male,Experienced,Average,No
Expert,Male,Freshman,Average,No
Expert,Female,Freshman,High_Average,No
Intermediate,Male,Experienced,High_Average,No
Expert,Female,Freshman,Superior,No
Intermediate,Female,Experienced,High_Average,Yes
Intermediate,Male,Experienced,Gifted,No
Beginner,Male,Experienced,Below_Average,No
Expert,Male,Freshman,Superior,No
Intermediate,Female,Freshman,Superior,No
Beginner,Male,Experienced,Average,No
Beginner,Female,Experienced,Below_Average,No
Intermediate,Male,Experienced,High_Average,No
Beginner,Female,Experienced,Gifted,No
Intermediate,Male,Freshman,Gifted,No
Intermediate,Female,Freshman,Below_Average,No
Beginner,Male,Experienced,High_Average,No
Beginner,Male,Freshman,High_Average,No
Intermediate,Female,Freshman,Below_Average,No
Intermediate,Female,Experienced,Average,Yes
Intermediate,Female,Experienced,Superior,Yes
Intermediate,Male,Experienced,High_Average,No
Expert,Female,Experienced,Gifted,Yes
Expert,Male,Freshman,Average,No
Intermediate,Male,Experienced,Superior,No
Intermediate,Female,Freshman,Superior,No
Expert,Female,Experienced,Below_Average,No
Expert,Female,Experienced,Below_Average,No
Beginner,Male,Freshman,Gifted,No
Intermediate,Male,Experienced,High_Average,No
Beginner,Male,Freshman,High_Average,No
Intermediate,Male,Experienced,Average,No
Expert,Male,Experienced,Gifted,Yes
Expert,Female,Freshman,Superior,No
Beginner,Male,Experienced,Average,No
Expert,Female,Experienced,Gifted,Yes
Beginner,Female,Freshman,High_Average,No
Beginner,Male,Experienced,Below_Average,No
Intermediate,Female,Freshman,Average,No
Intermediate,Female,Freshman,Below_Average,No
Expert,Male,Freshman,Gifted,No
Expert,Male,Freshman,Below_Average,No
Intermediate,Female,Experienced,Superior,Yes
Intermediate,Female,Experienced,Gifted,Yes
Intermediate,Male,Experienced,Gifted,No
Expert,Male,Freshman,Below_Average,No
Beginner,Female,Freshman,High_Average,No
Intermediate,Female,Experienced,High_Average,Yes
Expert,Male,Experienced,Superior,Yes
Beginner,Male,Freshman,Below_Average,No
Intermediate,Female,Experienced,High_Average,Yes
Intermediate,Female,Freshman,Below_Average,No
Beginner,Female,Experienced,Average,No
Expert,Male,Freshman,Gifted,No
Beginner,Male,Freshman,Gifted,No
Expert,Male,Freshman,High_Average,No
Intermediate,Male,Experienced,High_Average,No
Expert,Female,Freshman,Average,No
Beginner,Male,Experienced,High_Average,No
Beginner,Female,Experienced,High_Average,No
Beginner,Male,Freshman,Average,No
Intermediate,Female,Experienced,High_Average,Yes
Expert,Male,Freshman,Gifted,No
Expert,Male,Freshman,Superior,No
Intermediate,Female,Experienced,Superior,Yes
Expert,Female,Freshman,High_Average,No
Beginner,Male,Experienced,High_Average,No
Intermediate,Female,Freshman,Average,No
Expert,Male,Freshman,Gifted,No
Intermediate,Male,Freshman,High_Average,No
Beginner,Male,Freshman,Gifted,No
Intermediate,Female,Experienced,Average,Yes
Expert,Female,Freshman,Below_Average,No
Intermediate,Male,Experienced,High_Average,No
Intermediate,Male,Experienced,Superior,No
Intermediate,Female,Experienced,High_Average,Yes
Beginner,Female,Experienced,Average,No
Expert,Female,Freshman,Average,No
Expert,Female,Experienced,Below_Average,No
Beginner,Male,Experienced,High_Average,No
Expert,Female,Experienced,Below_Average,No
Intermediate,Female,Freshman,Superior,No
Expert,Female,Freshman,Superior,No
Beginner,Male,Experienced,Below_Average,No
Expert,Female,Experienced,Gifted,Yes
Expert,Female,Experienced,Gifted,Yes
Intermediate,Female,Freshman,High_Average,No
Beginner,Female,Freshman,Superior,No
Expert,Male,Freshman,High_Average,No
Beginner,Male,Experienced,Average,No
Beginner,Female,Experienced,Gifted,No
Expert,Male,Freshman,Average,No
Expert,Male,Experienced,Gifted,Yes
Intermediate,Male,Experienced,Gifted,No
Expert,Female,Experienced,Below_Average,No
Expert,Female,Experienced,Below_Average,No
Beginner,Female,Experienced,Gifted,No
Beginner,Male,Freshman,Average,No
Expert,Female,Freshman,Gifted,No
Beginner,Female,Freshman,Superior,No
Expert,Male,Freshman,Below_Average,No
Beginner,Male,Freshman,Gifted,No
Expert,Female,Freshman,Average,No
Expert,Female,Experienced,Superior,Yes
Beginner,Female,Freshman,Average,No
Beginner,Male,Freshman,Gifted,No
Expert,Female,Experienced,Average,Yes
Intermediate,Female,Experienced,Below_Average,No
Beginner,Male,Freshman,High_Average,No
Expert,Female,Freshman,Below_Average,No
Expert,Female,Experienced,Superior,Yes
Intermediate,Female,Freshman,High_Average,No
Expert,Male,Freshman,High_Average,No
Expert,Male,Experienced,Superior,Yes
Beginner,Female,Freshman,Average,No
Intermediate,Male,Freshman,Superior,No
Expert,Female,Experienced,Gifted,Yes
Expert,Female,Freshman,Superior,No
Intermediate,Female,Freshman,Below_Average,No
Beginner,Female,Freshman,Superior,No
Intermediate,Female,Freshman,Superior,No
Expert,Male,Experienced,Superior,Yes
Beginner,Female,Freshman,High_Average,No
Intermediate,Male,Freshman,Below_Average,No
Beginner,Female,Freshman,Gifted,No
Expert,Male,Experienced,Gifted,Yes
Intermediate,Female,Freshman,High_Average,No
Beginner,Female,Experienced,High_Average,No
Expert,Female,Freshman,Below_Average,No
Intermediate,Female,Freshman,Below_Average,No
Beginner,Female,Freshman,Gifted,No
Expert,Female,Experienced,Superior,Yes
Intermediate,Female,Experienced,Average,Yes
Intermediate,Male,Experienced,Gifted,No
Intermediate,Female,Freshman,Below_Average,No
Intermediate,Female,Freshman,Below_Average,No
Expert,Male,Freshman,Below_Average,No
Intermediate,Male,Experienced,High_Average,No
Expert,Female,Freshman,High_Average,No
Expert,Female,Experienced,Superior,Yes
Intermediate,Female,Freshman,Average,No
Intermediate,Female,Freshman,Gifted,No
Expert,Female,Freshman,Gifted,No
Beginner,Male,Freshman,Superior,No
Beginner,Female,Freshman,Gifted,No
Intermediate,Female,Experienced,Gifted,Yes
Beginner,Female,Freshman,Gifted,No
Beginner,Male,Freshman,Gifted,No
Expert,Female,Experienced,Below_Average,No
Intermediate,Female,Freshman,Gifted,No
Beginner,Female,Freshman,Superior,No
Beginner,Male,Experienced,Gifted,No
Beginner,Male,Experienced,Gifted,No
Intermediate,Female,Freshman,High_Average,No
Intermediate,Male,Freshman,Below_Average,No
Beginner,Female,Experienced,Average,No
Intermediate,Female,Experienced,Average,Yes
Expert,Female,Freshman,Average,No
Intermediate,Male,Experienced,Below_Average,No
Expert,Female,Experienced,Average,Yes
Beginner,Female,Freshman,Below_Average,No
Intermediate,Male,Freshman,Gifted,No
Intermediate,Male,Experienced,Superior,No
Intermediate,Male,Freshman,Average,No
Intermediate,Female,Experienced,Below_Average,No
Beginner,Female,Experienced,Below_Average,No
Beginner,Male,Experienced,Below_Average,No
Intermediate,Male,Freshman,Average,No
Beginner,Female,Freshman,Average,No
Expert,Male,Experienced,Gifted,Yes
Beginner,Male,Experienced,Superior,No
Intermediate,Female,Experienced,Superior,Yes
Intermediate,Female,Experienced,Average,Yes
Expert,Female,Experienced,Average,Yes
Beginner,Male,Freshman,Superior,No
Intermediate,Female,Experienced,Superior,Yes
Intermediate,Male,Freshman,Gifted,No
Expert,Female,Freshman,High_Average,No
Intermediate,Female,Freshman,Below_Average,No
Expert,Male,Experienced,Superior,Yes
Expert,Female,Experienced,Below_Average,No
Beginner,Female,Freshman,Below_Average,No
Beginner,Female,Experienced,High_Average,No
Beginner,Male,Freshman,Superior,No
Beginner,Female,Experienced,Gifted,No
Beginner,Female,Freshman,High_Average,No
Beginner,Female,Experienced,Superior,No
Intermediate,Female,Experienced,High_Average,Yes
Beginner,Male,Experienced,Average,No
Beginner,Female,Freshman,Average,No
Intermediate,Female,Freshman,Below_Average,No
Expert,Female,Experienced,High_Average,Yes
Beginner,Male,Freshman,Superior,No
Intermediate,Male,Experienced,Below_Average,No
Beginner,Male,Experienced,High_Average,No
Beginner,Male,Experienced,High_Average,No
Expert,Male,Freshman,Gifted,No
Beginner,Female,Freshman,Below_Average,No
Intermediate,Male,Freshman,Below_Average,No
Beginner,Female,Experienced,Below_Average,No
Beginner,Male,Freshman,Below_Average,No
Expert,Male,Experienced,Average,Yes
Beginner,Female,Freshman,High_Average,No
Expert,Female,Experienced,Superior,Yes
Intermediate,Male,Experienced,High_Average,No
Intermediate,Female,Freshman,High_Average,No
Intermediate,Female,Experienced,Below_Average,No
Beginner,Male,Experienced,Average,No
Intermediate,Female,Freshman,Superior,No
Expert,Female,Freshman,Superior,No
Expert,Female,Freshman,Average,No
Beginner,Female,Freshman,High_Average,No
Beginner,Female,Freshman,Superior,No
Expert,Male,Freshman,Average,No
Intermediate,Female,Experienced,Below_Average,No
Beginner,Male,Experienced,Average,No
Intermediate,Female,Freshman,Gifted,No
Intermediate,Male,Experienced,Below_Average,No
Expert,Male,Freshman,High_Average,No
Expert,Male,Freshman,Below_Average,No
Expert,Female,Experienced,High_Average,Yes
Expert,Male,Experienced,Gifted,Yes
Intermediate,Male,Experienced,Gifted,No
Beginner,Male,Experienced,Average,No
Intermediate,Male,Freshman,Average,No
Intermediate,Female,Freshman,Average,No
Expert,Female,Freshman,Below_Average,No
Intermediate,Male,Experienced,Gifted,No
Expert,Male,Freshman,Superior,No
Intermediate,Female,Freshman,Below_Average,No
Expert,Female,Experienced,Superior,Yes
Beginner,Male,Experienced,Gifted,No
Beginner,Male,Freshman,Gifted,No
Beginner,Male,Experienced,Superior,No
Beginner,Male,Freshman,Average,No
Expert,Female,Experienced,High_Average,Yes
Beginner,Female,Freshman,Below_Average,No
Intermediate,Female,Experienced,High_Average,Yes
Expert,Male,Experienced,Gifted,Yes
Beginner,Male,Freshman,Superior,No
Beginner,Male,Experienced,Gifted,No
Intermediate,Female,Experienced,Gifted,Yes
Intermediate,Female,Freshman,Gifted,No
Beginner,Female,Experienced,High_Average,No
Expert,Female,Experienced,High_Average,Yes
Expert,Male,Freshman,Below_Average,No
Expert,Female,Freshman,Gifted,No
Expert,Male,Experienced,Below_Average,No
Beginner,Female,Freshman,Superior,No
Beginner,Male,Freshman,Average,No
Expert,Male,Experienced,Below_Average,No
Beginner,Male,Freshman,Gifted,No
Expert,Male,Experienced,High_Average,Yes
Intermediate,Male,Freshman,Below_Average,No
Intermediate,Male,Freshman,Superior,No
Expert,Male,Experienced,Gifted,Yes
Beginner,Female,Experienced,Average,No
Beginner,Female,Experienced,High_Average,No
Beginner,Female,Experienced,Average,No
Beginner,Male,Freshman,High_Average,No
Expert,Female,Experienced,Gifted,Yes
Beginner,Female,Experienced,Gifted,No
Beginner,Female,Experienced,High_Average,No
Expert,Female,Experienced,Superior,Yes
Expert,Female,Freshman,Superior,No
Expert,Male,Freshman,Average,No
Beginner,Male,Freshman,Superior,No
Intermediate,Female,Experienced,Gifted,Yes
Beginner,Male,Freshman,Below_Average,No
Expert,Female,Experienced,Superior,Yes
Intermediate,Male,Freshman,Below_Average,No
Intermediate,Male,Experienced,Below_Average,No
Beginner,Female,Experienced,Below_Average,No
Intermediate,Male,Experienced,Below_Average,No
Expert,Female,Freshman,Below_Average,No
Beginner,Female,Experienced,Average,No
Intermediate,Female,Freshman,High_Average,No
Beginner,Female,Freshman,Average,No
Intermediate,Male,Experienced,High_Average,No
Intermediate,Female,Experienced,Superior,Yes
Beginner,Female,Experienced,Gifted,No
Intermediate,Female,Experienced,Superior,Yes
Intermediate,Female,Experienced,Gifted,Yes
Intermediate,Female,Experienced,Average,Yes
Intermediate,Male,Experienced,Superior,No
Expert,Female,Experienced,Below_Average,No
Expert,Female,Experienced,High_Average,Yes
Beginner,Female,Freshman,Average,No
Expert,Female,Freshman,High_Average,No
Intermediate,Female,Freshman,Below_Average,No
Beginner,Male,Freshman,Average,No
